r,t,y,DiscountedSalvageValue
REGION1,LNDCP02HIIND,2030,7.6719
REGION1,LNDCP02HRIND,2017,1.571
REGION1,LNDCP02HRIND,2018,3.0786
REGION1,LNDCP02HRIND,2019,4.5302
REGION1,LNDCP02HRIND,2020,5.9328
REGION1,LNDCP02HRIND,2021,7.2929
REGION1,LNDCP02HRIND,2022,8.6165
REGION1,LNDCP02HRIND,2023,9.9095
REGION1,LNDCP02HRIND,2024,11.1774
REGION1,LNDCP02HRIND,2025,12.4255
REGION1,LNDCP02HRIND,2026,13.6586
REGION1,LNDCP02HRIND,2027,14.8816
REGION1,LNDCP02HRIND,2028,16.099
REGION1,LNDCP02HRIND,2029,17.3154
REGION1,LNDCP02HRIND,2030,18.5349
REGION1,LNDCP02IIIND,2017,2.5414
REGION1,LNDCP02IIIND,2018,4.9803
REGION1,LNDCP02IIIND,2019,7.3287
REGION1,LNDCP02IIIND,2020,9.5977
REGION1,LNDCP02IIIND,2021,11.7979
REGION1,LNDCP02IIIND,2022,13.9392
REGION1,LNDCP02IIIND,2023,16.031
REGION1,LNDCP02IIIND,2024,18.0821
REGION1,LNDCP02IIIND,2025,20.1011
REGION1,LNDCP02IIIND,2026,22.096
REGION1,LNDCP02IIIND,2027,21.7933
REGION1,LNDCP02IIIND,2028,21.0966
REGION1,LNDCP02IIIND,2029,20.9049
REGION1,LNDCP02IIIND,2030,20.5236
REGION1,LNDCP02IRIND,2017,1.6381
REGION1,LNDCP02IRIND,2018,1.3172
REGION1,LNDCP02IRIND,2019,1.5111
REGION1,LNDCP02IRIND,2020,0.6982
REGION1,LNDCP02IRIND,2021,5.3066
REGION1,LNDCP02IRIND,2022,4.1669
REGION1,LNDCP02IRIND,2023,3.6858
REGION1,LNDCP02IRIND,2024,1.432
REGION1,LNDCP02IRIND,2025,1.7813
REGION1,LNDCP02IRIND,2026,2.1408
REGION1,LNDCP02IRIND,2027,2.5058
REGION1,LNDCP02IRIND,2028,2.8724
REGION1,LNDCP02IRIND,2029,3.2373
REGION1,LNDCP02IRIND,2030,3.5979
REGION1,LNDCP02LRIND,2029,0.1469
REGION1,LNDCP02LRIND,2030,4.4211
REGION1,LNDCP03HIIND,2022,2.1365
REGION1,LNDCP03HIIND,2023,2.4951
REGION1,LNDCP03HIIND,2024,2.8464
REGION1,LNDCP03HIIND,2025,5.5922
REGION1,LNDCP03HIIND,2026,5.9905
REGION1,LNDCP03HIIND,2027,6.3568
REGION1,LNDCP03HIIND,2028,6.6938
REGION1,LNDCP03HIIND,2029,7.0039
REGION1,LNDCP03HIIND,2030,7.2892
REGION1,LNDCP03HRIND,2022,7.3097
REGION1,LNDCP03HRIND,2023,8.5366
REGION1,LNDCP03HRIND,2024,9.7383
REGION1,LNDCP03HRIND,2025,19.1326
REGION1,LNDCP03HRIND,2026,20.4953
REGION1,LNDCP03HRIND,2027,21.7486
REGION1,LNDCP03HRIND,2028,22.9016
REGION1,LNDCP03HRIND,2029,23.9624
REGION1,LNDCP03HRIND,2030,24.9387
REGION1,LNDCP03IIIND,2027,10.2655
REGION1,LNDCP03IIIND,2028,10.806
REGION1,LNDCP03IIIND,2029,11.3026
REGION1,LNDCP03IIIND,2030,11.759
REGION1,LNDCP03IRIND,2026,24.9552
REGION1,LNDCP03IRIND,2027,26.4747
REGION1,LNDCP03IRIND,2028,27.8713
REGION1,LNDCP03IRIND,2029,29.155
REGION1,LNDCP03IRIND,2030,30.3351
REGION1,LNDCP03LRIND,2030,6.5222
REGION1,LNDCP04HRIND,2017,8.8742
REGION1,LNDCP04HRIND,2018,17.3905
REGION1,LNDCP04HRIND,2019,25.5906
REGION1,LNDCP04HRIND,2020,33.5137
REGION1,LNDCP04HRIND,2021,41.1964
REGION1,LNDCP04HRIND,2022,48.6734
REGION1,LNDCP04HRIND,2023,55.9776
REGION1,LNDCP04HRIND,2024,63.1398
REGION1,LNDCP04HRIND,2025,70.1898
